Erstfeld_S_Goeschenen,,,,,,
Datum,Fahrzeuge pro 3Min,Durchschnittsgeschwindigkeit,Fahrzeuge pro 3Min Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Fahrzeuge pro 3Min Vergleichstage Fr 1.8.2014 - Sa 2.8.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 1.8.2014 - Sa 2.8.2014</title>
2014-07-18 15:45-15:48,58,108,63,106,63,110
2014-07-18 15:48-15:51,49,115,60,112,51,115
2014-07-18 15:51-15:54,56,115,60,112,45,111
2014-07-18 15:54-15:57,53,107,42,114,42,113
2014-07-18 15:57-16:00,51,112,76,106,42,112
2014-07-18 16:00-16:03,60,100,57,117,55,111
2014-07-18 16:03-16:06,56,110,59,109,47,115
2014-07-18 16:06-16:09,82,108,56,106,41,118
2014-07-18 16:09-16:12,44,107,62,109,43,113
2014-07-18 16:12-16:15,61,108,59,107,63,111
2014-07-18 16:15-16:18,64,112,49,115,42,113
2014-07-18 16:18-16:21,62,111,38,111,68,111
2014-07-18 16:21-16:24,53,109,67,110,58,110
2014-07-18 16:24-16:27,63,108,51,110,51,111
2014-07-18 16:27-16:30,51,112,53,116,53,109
2014-07-18 16:30-16:33,56,111,61,112,46,114
2014-07-18 16:33-16:36,59,107,54,111,44,109
2014-07-18 16:36-16:39,66,112,49,108,48,115
2014-07-18 16:39-16:42,63,107,51,114,57,111
2014-07-18 16:42-16:45,68,110,54,109,55,111
2014-07-18 16:45-16:48,51,109,55,112,47,113
2014-07-18 16:48-16:51,56,109,64,112,57,115
2014-07-18 16:51-16:54,46,112,52,113,31,113
2014-07-18 16:54-16:57,51,110,52,114,56,112
2014-07-18 16:57-17:00,50,113,53,113,51,111
2014-07-18 17:00-17:03,52,108,49,113,59,111
2014-07-18 17:03-17:06,70,106,63,112,38,112
2014-07-18 17:06-17:09,43,109,45,114,28,115
2014-07-18 17:09-17:12,53,109,46,111,61,110
2014-07-18 17:12-17:15,61,106,54,113,35,112
2014-07-18 17:15-17:18,42,115,52,111,40,113
2014-07-18 17:18-17:21,68,107,57,107,45,116
2014-07-18 17:21-17:24,69,110,52,115,48,117
2014-07-18 17:24-17:27,44,107,52,114,47,114
2014-07-18 17:27-17:30,68,105,58,117,45,113
2014-07-18 17:30-17:33,54,113,56,110,34,116
2014-07-18 17:33-17:36,39,109,63,113,55,112
2014-07-18 17:36-17:39,56,109,40,110,47,117
2014-07-18 17:39-17:42,73,107,56,114,42,111
2014-07-18 17:42-17:45,59,108,48,107,46,111
2014-07-18 17:45-17:48,38,113,59,112,43,111
2014-07-18 17:48-17:51,47,111,56,114,37,113
2014-07-18 17:51-17:54,49,111,36,116,69,112
2014-07-18 17:54-17:57,53,113,48,112,44,116
2014-07-18 17:57-18:00,44,111,46,112,39,115
2014-07-18 18:00-18:03,51,114,55,115,52,116
2014-07-18 18:03-18:06,59,108,43,116,46,114
2014-07-18 18:06-18:09,65,111,52,112,41,114
2014-07-18 18:09-18:12,48,111,54,114,50,115
2014-07-18 18:12-18:15,57,110,56,113,42,110
2014-07-18 18:15-18:18,57,109,53,116,37,119
2014-07-18 18:18-18:21,66,110,43,110,44,110
2014-07-18 18:21-18:24,57,115,37,113,33,110
2014-07-18 18:24-18:27,54,112,46,112,52,112
2014-07-18 18:27-18:30,49,116,52,117,38,112
2014-07-18 18:30-18:33,31,111,43,114,30,109
2014-07-18 18:33-18:36,46,114,42,115,33,112
2014-07-18 18:36-18:39,42,108,53,113,38,115
2014-07-18 18:39-18:42,53,107,56,118,38,113
2014-07-18 18:42-18:45,49,115,61,114,44,110
2014-07-18 18:45-18:48,61,113,53,118,44,112
2014-07-18 18:48-18:51,59,110,42,120,27,116
2014-07-18 18:51-18:54,54,114,72,113,42,104
2014-07-18 18:54-18:57,56,113,41,113,34,122
2014-07-18 18:57-19:00,57,112,49,112,28,118
2014-07-18 19:00-19:03,56,111,58,115,42,113
2014-07-18 19:03-19:06,55,112,54,110,36,110
2014-07-18 19:06-19:09,56,108,49,118,47,112
2014-07-18 19:09-19:12,56,111,63,116,40,113
2014-07-18 19:12-19:15,55,108,51,115,49,112
2014-07-18 19:15-19:18,49,114,57,118,29,113
2014-07-18 19:18-19:21,58,111,74,112,36,114
2014-07-18 19:21-19:24,48,112,68,118,26,116
2014-07-18 19:24-19:27,54,111,48,110,31,107
2014-07-18 19:27-19:30,40,111,47,117,36,107
2014-07-18 19:30-19:33,61,113,52,118,37,114
2014-07-18 19:33-19:36,57,114,81,111,26,111
2014-07-18 19:36-19:39,46,116,49,113,31,110
2014-07-18 19:39-19:42,41,114,78,112,26,111
2014-07-18 19:42-19:45,50,113,60,113,36,114
2014-07-18 19:45-19:48,57,114,52,115,34,113
2014-07-18 19:48-19:51,40,112,62,109,31,113
2014-07-18 19:51-19:54,61,114,72,108,30,116
2014-07-18 19:54-19:57,46,116,65,113,17,114
2014-07-18 19:57-20:00,52,113,52,116,22,107
2014-07-18 20:00-20:03,41,111,98,109,28,107
2014-07-18 20:03-20:06,41,121,64,112,34,104
2014-07-18 20:06-20:09,46,112,72,111,46,108
2014-07-18 20:09-20:12,48,112,58,115,30,110
2014-07-18 20:12-20:15,46,114,58,116,28,110
2014-07-18 20:15-20:18,46,113,58,116,20,113
2014-07-18 20:18-20:21,44,112,38,108,30,112
2014-07-18 20:21-20:24,34,116,72,109,27,110
2014-07-18 20:24-20:27,51,111,57,113,23,113
2014-07-18 20:27-20:30,44,113,56,113,40,108
2014-07-18 20:30-20:33,60,112,76,114,32,109
2014-07-18 20:33-20:36,35,112,59,113,34,110
2014-07-18 20:36-20:39,50,116,68,113,22,107
2014-07-18 20:39-20:42,53,112,70,110,21,109
2014-07-18 20:42-20:45,40,117,62,109,24,122
2014-07-18 20:45-20:48,53,111,53,115,20,116
2014-07-18 20:48-20:51,48,115,68,114,22,113
2014-07-18 20:51-20:54,43,118,54,115,31,110
2014-07-18 20:54-20:57,43,114,57,115,27,110
2014-07-18 20:57-21:00,46,114,52,112,19,107
2014-07-18 21:00-21:03,43,119,52,111,23,108
2014-07-18 21:03-21:06,50,118,37,109,16,106
2014-07-18 21:06-21:09,41,116,51,109,25,107
2014-07-18 21:09-21:12,41,115,33,113,28,107
2014-07-18 21:12-21:15,35,114,64,111,32,114
2014-07-18 21:15-21:18,38,115,71,112,23,105
2014-07-18 21:18-21:21,55,115,56,108,20,105
2014-07-18 21:21-21:24,34,117,59,108,27,111
2014-07-18 21:24-21:27,41,111,48,111,28,109
2014-07-18 21:27-21:30,44,110,56,104,23,103
2014-07-18 21:30-21:33,41,118,40,107,31,103
2014-07-18 21:33-21:36,40,111,44,113,16,113
2014-07-18 21:36-21:39,47,112,39,111,22,109
2014-07-18 21:39-21:42,41,111,63,108,15,109
2014-07-18 21:42-21:45,39,115,49,110,36,112
2014-07-18 21:45-21:48,37,109,42,109,16,106
2014-07-18 21:48-21:51,55,107,51,109,28,102
2014-07-18 21:51-21:54,44,111,47,111,27,106
2014-07-18 21:54-21:57,47,109,50,108,29,108
2014-07-18 21:57-22:00,49,106,51,111,15,109
2014-07-18 22:00-22:03,54,112,43,104,23,107
2014-07-18 22:03-22:06,39,109,52,110,14,107
2014-07-18 22:06-22:09,43,113,47,111,31,106
2014-07-18 22:09-22:12,33,108,68,106,25,107
2014-07-18 22:12-22:15,55,113,60,109,29,104
2014-07-18 22:15-22:18,42,115,59,111,21,108
2014-07-18 22:18-22:21,43,111,30,109,33,104
2014-07-18 22:21-22:24,52,113,47,110,34,105
2014-07-18 22:24-22:27,61,106,46,113,27,109
2014-07-18 22:27-22:30,51,111,56,108,23,104
2014-07-18 22:30-22:33,55,109,69,109,45,107
2014-07-18 22:33-22:36,46,113,47,113,34,114
2014-07-18 22:36-22:39,52,110,45,113,37,106
2014-07-18 22:39-22:42,57,108,60,111,27,106
2014-07-18 22:42-22:45,58,107,48,110,26,114
2014-07-18 22:45-22:48,58,110,60,107,27,109
2014-07-18 22:48-22:51,62,104,63,109,38,109
2014-07-18 22:51-22:54,56,111,51,111,46,108
2014-07-18 22:54-22:57,46,104,63,109,33,110
2014-07-18 22:57-23:00,66,109,41,112,40,105
2014-07-18 23:00-23:03,34,109,40,109,32,113
2014-07-18 23:03-23:06,55,110,65,103,28,109
2014-07-18 23:06-23:09,41,106,58,107,17,108
2014-07-18 23:09-23:12,36,111,66,110,27,109
2014-07-18 23:12-23:15,33,116,59,113,36,106
2014-07-18 23:15-23:18,43,110,41,113,25,111
2014-07-18 23:18-23:21,42,110,52,111,40,107
2014-07-18 23:21-23:24,58,104,45,114,33,106
2014-07-18 23:24-23:27,40,109,68,106,24,106
2014-07-18 23:27-23:30,47,114,73,101,41,113
2014-07-18 23:30-23:33,57,111,56,109,26,107
2014-07-18 23:33-23:36,46,105,80,104,27,108
2014-07-18 23:36-23:39,44,114,75,104,49,108
2014-07-18 23:39-23:42,49,113,35,110,23,109
